"PublisherIC";"PublisherName";"Region";"NumberOfEmployees"
601322;"Střední průmyslová škola a Obchodní akademie, Bruntál, příspěvková organizace";"Moravskoslezský kraj";50
601667;"Gymnázium Mikuláše Koperníka, Bílovec, příspěvková organizace";"Moravskoslezský kraj";50
602051;"Střední umělecká škola, Ostrava, příspěvková organizace";"Moravskoslezský kraj";50
635162;"Městská nemocnice Ostrava, příspěvková organizace";"Moravskoslezský kraj";2000
638994;"ČESKÁ ŠKOLNÍ INSPEKCE";"Praha";500
666271;"Domov Libníč a Centrum sociálních služeb Empatie";"Jihočeský kraj";100
669792;"Psychiatrická nemocnice v Dobřanech";"Plzeňský kraj";1000
671045;"Dětský domov Trnová, příspěvková organizace";"Plzeňský kraj";25
842753;"Gymnázium Hladnov a Jazyková škola s právem státní jazykové zkoušky, Ostrava, příspěvková organizace";"Moravskoslezský kraj";50
849103;"Zdravotnická záchranná služba Olomouckého kraje, příspěvková organizace";"Olomoucký kraj";250
851817;"Masarykova veřejná knihovna Vsetín";"Zlínský kraj";25
856070;"Gymnázium Ivana Olbrachta, Semily, Nad Špejcharem 574, příspěvková organizace";"Liberecký kraj";50
2013762;"Střední průmyslová škola elektrotechnická a Vyšší odborná škola Pardubice";"Pardubický kraj";100
2795281;"Operátor ICT, a.s.";"Praha";100
4212371;"Správa tepelného hospodářství MČ Praha 8 s.r.o.";"Praha";1
14798425;"Střední odborná škola a Střední odborné učiliště, Vlašim, Zámek 1";"Středočeský kraj";50
15034569;"Střední odborné učiliště Svitavy";"Pardubický kraj";25
16577434;"Městské kulturní centrum Poděbrady";"Středočeský kraj";6
16977246;"Střední odborná škola a Střední odborné učiliště, Kladno, Dubská";"Středočeský kraj";100
18383874;"Vyšší odborná škola, Střední průmyslová škola a Střední odborná škola služeb a cestovního ruchu, Varnsdorf, Bratislavská 2166, příspěvková organizace";"Ústecký kraj";200
19013833;"Střední škola technická, Přerov, Kouřílkova 8";"Olomoucký kraj";50
21551189;"Základní umělecká škola, Vysoké Mýto, příspěvková organizace";"Pardubický kraj";25
25073249;"Údržba městských komunikací Rakovník ,spol. s r.o.";"Středočeský kraj";25
25379631;"Moravskoslezské inovační centrum Ostrava, a.s.";"Moravskoslezský kraj";25
25450131;"Liberecká IS, a.s.";NA;25
